,CLASS,TITLE_x,CASE_HISTORY,CLEAN_COMMENTS
249,EMSE SMARTS,Please Provide Alarm settings and thresholds for: aamp-*,"
*** NOTES 12/02/2019 14:55:03 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hello Bhanu/Team,

We are looking to enable auto-ticketing/Pro-active ticketing into NGSD for AAMP-* under NGSD Queues: QUEUES  During day     UK_HTF_COMMERCIAL          OUT OF HOURS   UK_HTF_COMMERCIAL OOH

Due to this work I am hoping you are able to provide me with the current auto-ticketing rules/settings for this contract

We can have a call to discuss if required but the general is:
- aamp-* to receive auto ticketing into NGSD, NGSD Teams are aware
- Receive alarm settings and thresholds for review
- Ensure auto ticketing works for this contract


 
*** RESEARCH LOG 27/02/2019 12:06:32 nxfam37 Action Type: Action Taken
*** UKEEMSESMARTS        Fenny Mehta  +91 8128336834  nxfam37
Request Completed

*** NOTES 27/02/2019 12:06:46 nxfam37 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 27/02/2019 12:06:48 nxfam37
Case Closed
",Hello Bhanu/Team looking enable autoticketing/Proactive ticketing NGSD AAMP NGSD Queues QUEUES During day UKHTFCOMMERCIAL OUT OF HOURS UKHTFCOMMERCIAL OOH Due hoping able current autoticketing rules/settings contract call discuss general aamp receive auto ticketing NGSD NGSD Teams aware Receive alarm settings thresholds review Ensure auto ticketing works contract nxfam37 UKEEMSESMARTS nxfam37 nxfam37 nxfam37
250,EMSE SMARTS,Alarm settings/thresholds and Auto ticketing enabling - EUROPEAN METAL RECYCLING,"
*** NOTES 12/02/2019 14:57:57 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hello Bhanu/Team,

We are looking to enable auto-ticketing/Pro-active ticketing into NGSD for - EMRT-*/EUROPEAN METAL RECYCLING LIMITED under NGSD Queues: QUEUES  During day     UK_HTF_COMMERCIAL          OUT OF HOURS   UK_HTF_COMMERCIAL OOH

Due to this work I am hoping you are able to provide me with the current auto-ticketing rules/settings for this contract

We can have a call to discuss if required but the general is:
- EMRT-*/EUROPEAN METAL RECYCLING LIMITED to receive auto ticketing into NGSD, NGSD Teams are aware
- Receive alarm settings and thresholds for review
- Ensure auto ticketing works for this contract


 
*** RESEARCH LOG 19/03/2019 06:28:49 nxvac09 Action Type: Action Taken
*** UKEEMSESMARTS        Vishnu Vardhan Challa  +91 7842296669  nxvac09
Auto ticketing enabled.

*** NOTES 19/03/2019 06:30:17 nxvac09 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 19/03/2019 06:30:18 nxvac09
Case Closed
",Hello Bhanu/Team looking enable autoticketing/Proactive ticketing NGSD EMRT/EUROPEAN METAL RECYCLING LIMITED NGSD Queues QUEUES During day UKHTFCOMMERCIAL OUT OF HOURS UKHTFCOMMERCIAL OOH Due hoping able current autoticketing rules/settings contract call discuss general EMRT/EUROPEAN METAL RECYCLING LIMITED receive auto ticketing NGSD NGSD Teams aware Receive alarm settings thresholds review Ensure auto ticketing works contract nxvac09 UKEEMSESMARTS Challa nxvac09 Auto ticketing enabled nxvac09 nxvac09
251,IONIX NCM,Interfaces missing in NMDB,"
*** NOTES 13/02/2019 06:31:42 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
For the below devices, which are discovered in Ionix, the Interfaces are missing in NMDB.

Is it something can you/Ionix  trigger the CE interface details to NMDB so that the utilization reports are shown in Service intelligence

HOST_NAME	IP_ADDRESS
oric-r-ya-002	62.239.128.135
oric-r-nc-001	10.252.128.68
aa-orica-rb270-lsw-eu	109.159.214.35
aa-orica-ruk70-ala-eu	217.32.175.238
aa-orica-rb470-ctt-af	109.159.214.218
aa-orica-rn570-ctt-af	109.159.214.87
aa-orica-ru370-ala-eu	217.46.23.182
aa-orica-rt970-lsw-eu	109.159.214.242
aa-orica-rdt70-ctt-af	109.159.214.57
oric-r-nc-002	62.239.128.93
oric-r-12-001	10.252.128.15


Regards,
Rajashekar REddy L


 
*** RESEARCH LOG 16/04/2019 16:17:10 nxsgd46 Action Type: Action Taken
*** APLSUPIONIX        Sohan Dutta  +918017207442  nxsgd46
Service Request completed.
Please find below update on below devices.

oric-r-ya-002 : Device is not discovered in NCM due to credentials issue at device end. Please find below snippet from logs.

>>> (62.239.128.135) Discovering drivers and protocols for device

    ---- RO community (Orica_v2) is invalid

!!! No Valid SNMPV1 Community Strings, check the R/O and R/W community strings.

    ---- RO community (Orica_v2) is invalid

!!! No Valid SNMPV2 Community Strings, check the R/O and R/W community strings.

---- Device did not respond to SSH Orica_Accnt authentication

!!! SSH Credentials are not Valid

---- Device did not respond to telnet Orica_Accnt authentication

!!! telnet Credentials are not Valid

!!! Could not discover credentials for device

Rest of the devices are now reflecting in NCM and interface details (MDDC) has been sent from IONIX end.

*** NOTES 16/04/2019 16:21:59 nxsgd46 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 16/04/2019 16:22:00 nxsgd46
Case Closed
",discovered Ionix Interfaces missing Is something you/Ionix trigger CE interface utilization reports shown intelligence HOSTNAME IPADDRESS oricrya002 oricrnc001 aaoricarb270lsweu aaoricaruk70alaeu aaoricarb470cttaf aaoricarn570cttaf aaoricaru370alaeu aaoricart970lsweu aaoricardt70cttaf oricrnc002 oricr12001 Rajashekar REddy L nxsgd46 APLSUPIONIX Sohan Dutta nxsgd46 completed find update oricrya002 discovered NCM due credentials end find snippet logs Discovering drivers protocols RO community Oricav2 invalid Valid SNMPV1 Community Strings R/O R/W community strings RO community Oricav2 invalid Valid SNMPV2 Community Strings R/O R/W community strings respond SSH OricaAccnt authentication SSH Credentials Valid respond telnet OricaAccnt authentication telnet Credentials Valid Could discover credentials Rest reflecting NCM interface MDDC sent IONIX end nxsgd46 nxsgd46
252,SMARTS MPLS,To discover device in SMARTS,"
*** NOTES 13/02/2019 07:48:09 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Team,

Details of device shared in mail.


 
*** RESEARCH LOG 14/02/2019 05:43:34 nxsmk58 Action Type: Action Taken
*** INFYSOESMARTS        Suhaas Krishnam  +91 9916391640  nxsmk58
Discovered

*** NOTES 14/02/2019 05:43:49 nxsmk58 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 14/02/2019 05:43:49 nxsmk58
Case Closed
",Details shared nxsmk58 INFYSOESMARTS nxsmk58 Discovered nxsmk58 nxsmk58
253,EMSE SMARTS,EMSE SMARTS - need adhok report,"
*** NOTES 13/02/2019 08:18:56 FIXITBOT1 Action Type: PM Team
*** BTCOREDESK        AUTOMATED PASSWORD    FIXITBOT1
Service Request Case. Generated by BTFixIT Bridge Service Request System.

Application: EMSE SMARTS
Name: Afsana Begum
UIN: 609401765
E-mail: afsana.3.begum@bt.com
Primary Contact: 9716759786
Secondary Contact: 9899913247
--------------------------------

EMSE SMARTS Issue : Other Issues
No screenshot provided.
--------------------------------
Full Description: Can you please send the report we get on every Monday for device availability and reachability for all RBS devices?
we need this report today, tomorrow and on Friday for this week preferably at 8:00 BST around.


**************************

Case should be dispatched to - UKEEMSESMARTS

[!<For Internal Use Only
BTFixIT Bridge Service Request Robot generated note!]


 
*** EMAIL OUT 18/02/2019 07:51:27 nxjat47 Action Type: Internal email
Send to: [afsana.3.begum@bt.com]
CC List: [emse.smarts@bt.com; jaya.tiwari@bt.com]
*** UKEEMSESMARTS        Jaya Tiwari  91955 940 7427  nxjat47
Hi Afsana,

Are you talking about managed pending list? If yes, it is sent everyday.

Thanks and Regards,
Jaya Tiwari

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

 
*** RESEARCH LOG 18/02/2019 11:04:02 nxjat47 Action Type: Action Taken
*** UKEEMSESMARTS        Jaya Tiwari  91955 940 7427  nxjat47
Customer confirmed case closure on IM.

*** NOTES 18/02/2019 11:05:05 nxjat47 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/02/2019 11:05:06 nxjat47
Case Closed
",BTCOREDESK AUTOMATED PASSWORD Generated Application EMSE SMARTS Afsana Begum UIN afsana3begum Primary Secondary EMSE SMARTS Issue Issues screenshot Full Description every Monday availability reachability RBS today tomorrow Friday week preferably BST around dispatched UKEEMSESMARTS Use Only Robot EMAIL OUT nxjat47 Send afsana3begum CC List emsesmarts UKEEMSESMARTS nxjat47 Afsana Are talking managed pending yes sent everyday reply queries box monitored nxjat47 UKEEMSESMARTS nxjat47 confirmed closure IM nxjat47 nxjat47
254,SMARTS MPLS,ROCS:CRQ000000257462,"
*** NOTES 13/02/2019 08:20:06 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Team,

Kindly help us remove the below devices from monitoring.
BT ticket 	IP removal request	Completed?	Customer	Site ID	Service ID	Hostname	IP address	Reason of IP removal
INC000001806312	CRQ000000257462 	requested	SAFRAN	S1147662 	GMPLS6C-01008082-0131	bf-safra-les71-pth-eu	147.152.76.215	CSM confirmed site has decommissionned, OK to remove from poller
INC000001806734	CRQ000000257462 	requested	SAFRAN	S1147662 	GMPLS6C-01008082-0132	bf-safra-les70-plg-eu	147.152.77.4	CSM confirmed site has decommissionned, OK to remove from poller
INC000001819933	CRQ000000257462 	requested	L'OREAL	S1122538 	GMPLS6C-01006226-0014	bf-lorea-mum70-mum-ap 	62.5.42.71	site under cease process - cease order 1651829
INC000001794980	CRQ000000257462 	requested	SAFRAN	S1146792 	GMPLS6C-01008082-0107	bf-safra-tou70-plg-eu	62.172.28.164	Site is ceased for the customer, services no longer active
INC000001794980	CRQ000000257462 	requested	SAFRAN	S1146792 	GMPLS6C-01008082-0108	bf-safra-tou70-lyo-eu	62.5.26.110	Site is ceased for the customer, services no longer active
INC000001814280	CRQ000000257462 	requested	REXEL GROUP AUSTRIA DC 	S1091452 	GMPLS6C-01004573-0001	bf-rexel-vie11-vii-eu	62.5.121.169	62.5.121.169 / bf-rexel-vie11-vii-eu is not in use anymore, OK to remove from IP
INC000001764788	CRQ000000257462 	requested	GENERALI	S1140561 	GMPLS6C-01007751-0064	geem-r-frlikod1-1 / bf-gener-lim70-lyo-eu	213.1.41.29	Site under cease process, CSM agreed IP removal
INC000001764788	CRQ000000257462 	requested	GENERALI	S1140561 	GMPLS6C-01007751-0380	geem-r-frlikod1-11 / bf-gener-lim74-lyo-eu	147.152.76.32	Site under cease process, CSM agreed IP removal
INC000001828858	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1169577 	GMPLS6C-01009628-0070	bf-vilmo-mez70-bud-eu	147.152.39.73	Service under cease process - cease order 1651580
INC000001821449	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1161619 	GMPLS6C-01009628-0023	bf-vilmo-mon70-tls-eu	62.6.74.155	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1165852 	GMPLS6C-01009628-0058	bf-vilmo-viz70-pra-eu	62.5.62.44	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1164025 	GMPLS6C-01009628-0042	bf-vilmo-ele70-maf-eu	62.5.42.96	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1163098 	GMPLS6C-01009628-0038	bf-vilmo-led72-plg-eu	62.5.27.217	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1166576 	GMPLS6C-01009628-0064	bf-vilmo-sai70-mrs-eu	62.5.4.194	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	3790325	3222645_CPE	VILMORINCIELIMAGRAIN_BUDAORS1_HU	62.5.41.8	WEB-VPN // Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1160352	GMPLS6C-01009628-0008	bf-vilmo-ril70-rot-eu	62.5.5.47	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1166546 	GMPLS6C-01009628-0063	bf-vilmo-poz70-wsw-eu	62.5.123.191	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	S1166546 	GMPLS6C-01009628-0062	bf-vilmo-poz70-war-eu	62.5.63.184	Site migrated to another ISP
CSM_email	CRQ000000257462 	requested	VILMORIN & CIE (LIMAGRAIN)	3790284	3225286_CPE	VILMORINCIELIMAGRAIN_NOVISAD1_RS	62.5.63.42 	WEB-VPN // Site migrated to another ISP
INC000001754314	CRQ000000257462 	requested	GENERALI	S1153333 	GMPLS6C-01007751-0607	bf-gener-roc73-lyo-eu	62.5.4.82	Inspecteur site, customer requested monitoring deactivation
INC000001778532	CRQ000000257462 	requested	GENERALI	S1153285 	GMPLS6C-01007751-0605	geem-r-frvfnin1-1 | bf-gener-ver71-pth-eu	62.5.4.216	Inspecteur site, customer requested monitoring deactivation
INC000001810878	CRQ000000257462 	requested	GENERALI	S1147750 	GMPLS6C-01007751-0...",help remove monitoring ticket removal Site Hostname Reason removal INC000001806312 CRQ000000257462 requested SAFRAN S1147662 GMPLS6C010080820131 bfsafrales71ptheu CSM confirmed site decommissionned OK remove poller INC000001806734 CRQ000000257462 requested SAFRAN S1147662 GMPLS6C010080820132 bfsafrales70plgeu CSM confirmed site decommissionned OK remove poller INC000001819933 CRQ000000257462 requested LOREAL S1122538 GMPLS6C010062260014 bfloreamum70mumap site cease process cease INC000001794980 CRQ000000257462 requested SAFRAN S1146792 GMPLS6C010080820107 bfsafratou70plgeu Site ceased services longer active INC000001794980 CRQ000000257462 requested SAFRAN S1146792 GMPLS6C010080820108 bfsafratou70lyoeu Site ceased services longer active INC000001814280 CRQ000000257462 requested REXEL GROUP AUSTRIA DC S1091452 GMPLS6C010045730001 bfrexelvie11viieu bfrexelvie11viieu use anymore OK remove INC000001764788 CRQ000000257462 requested GENERALI S1140561 GMPLS6C010077510064 geemrfrlikod11 bfgenerlim70lyoeu Site cease process CSM agreed removal INC000001764788 CRQ000000257462 requested GENERALI S1140561 GMPLS6C010077510380 geemrfrlikod111 bfgenerlim74lyoeu Site cease process CSM agreed removal INC000001828858 CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1169577 GMPLS6C010096280070 bfvilmomez70budeu cease process cease INC000001821449 CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1161619 GMPLS6C010096280023 bfvilmomon70tlseu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1165852 GMPLS6C010096280058 bfvilmoviz70praeu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1164025 GMPLS6C010096280042 bfvilmoele70mafeu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1163098 GMPLS6C010096280038 bfvilmoled72plgeu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1166576 GMPLS6C010096280064 bfvilmosai70mrseu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAINCPE VILMORINCIELIMAGRAINBUDAORS1HU WEBVPN // Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1160352 GMPLS6C010096280008 bfvilmoril70roteu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1166546 GMPLS6C010096280063 bfvilmopoz70wsweu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAIN S1166546 GMPLS6C010096280062 bfvilmopoz70wareu Site migrated another ISP CSMemail CRQ000000257462 requested VILMORIN CIE LIMAGRAINCPE VILMORINCIELIMAGRAINNOVISAD1RS WEBVPN // Site migrated another ISP INC000001754314 CRQ000000257462 requested GENERALI S1153333 GMPLS6C010077510607 bfgenerroc73lyoeu Inspecteur site requested monitoring deactivation INC000001778532 CRQ000000257462 requested GENERALI S1153285 GMPLS6C010077510605 geemrfrvfnin11 bfgenerver71ptheu Inspecteur site requested monitoring deactivation INC000001810878 CRQ000000257462 requested GENERALI S1147750 GMPLS6C010077510
255,IONIX NCM,Stale devices under Skybox Extraction,"
*** NOTES 13/02/2019 08:29:06 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Dinesh & Team

Please check and confirm if attached list of 47 devices were part of last skybox extraction ? if no , please advise the reason.



 
*** RESEARCH LOG 07/03/2019 12:13:30 nxnaj65 Action Type: Action Taken
*** APLSUPIONIX        Nikhil Jain [612106244]  91995 866 3945  nxnaj65
User confirmed to close the case

*** NOTES 07/03/2019 12:13:48 nxnaj65 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 07/03/2019 12:13:49 nxnaj65
Case Closed
",attached part last skybox extraction advise reason nxnaj65 APLSUPIONIX Jain nxnaj65 User confirmed close nxnaj65 nxnaj65
256,Ontario,Kindly rediscover below devices on Ontario and confirm,"
*** NOTES 13/02/2019 09:31:04 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Kindly rediscover below devices on Ontario and confirm


*** NOTES 18/02/2019 04:39:44 nxscn51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/02/2019 04:39:44 nxscn51
Case Closed
",rediscover Ontario nxscn51 nxscn51
257,SMARTS MPLS,Need to check with proactive monitroing is enabled,"
*** NOTES 13/02/2019 11:33:14 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
MANAGED DEVICE NAME be-katoe-sko70-frk-eu 
 MANAGEMENT/LOOPBACK IP ADDRESS 62.102.43.6 



 
*** RESEARCH LOG 14/02/2019 05:44:40 nxsmk58 Action Type: Action Taken
*** INFYSOESMARTS        Suhaas Krishnam  +91 9916391640  nxsmk58
Monitored

NL-PFM;be-katoe-sko70-frk-eu;62.102.43.6;Discovered;Discovered and Managed;February 12 2019 7:02:34 AM GMT+00:00;PROACTIVE CE MONITORING;2574090;KATOEN NATIE;MPLS-AM-EMEA-T1P7-5;./ivpn2-import.txt

*** NOTES 14/02/2019 05:45:00 nxsmk58 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 14/02/2019 05:45:00 nxsmk58
Case Closed
",MANAGED DEVICE NAME bekatoesko70frkeu MANAGEMENT/LOOPBACK ADDRESS nxsmk58 INFYSOESMARTS nxsmk58 Monitored NLPFM bekatoesko70frkeu Discovered Discovered Managed February AM GMT0000 PROACTIVE CE MONITORING KATOEN NATIE MPLSAMEMEAT1P75 /ivpn2importtxt nxsmk58 nxsmk58
258,Ontario,lbg-3o-manccm101043-cr03 and lbg-3a-londcm100009-cr03 to be reported on priority,"
*** NOTES 13/02/2019 14:11:11 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Team,

Kindly get the below in devices to be reported on Ontario on priority.

lbg-3o-manccm101043-cr03
Gi0/0/0
Gi0/0/2
Gi0/0/3
lbg-3a-londcm100009-cr03
Gi0/0/0
Gi0/0/2
Gi0/0/3


 
*** RESEARCH LOG 18/02/2019 15:58:33 nurjb89 Action Type: Action Taken
*** UKGSONTARIO2LS        Reshmanaidu Bevara  +91 8066882047  nurjb89

Reporting

*** NOTES 18/02/2019 15:59:27 nurjb89 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/02/2019 15:59:27 nurjb89
Case Closed
",reported Ontario priority lbg3omanccm101043cr03 Gi0/0/0 Gi0/0/2 Gi0/0/3 lbg3alondcm100009cr03 Gi0/0/0 Gi0/0/2 Gi0/0/3 nurjb89 UKGSONTARIO2LS nurjb89 Reporting nurjb89 nurjb89
259,Ontario,FW: DPD14244 - SUCCESS: LK-EXP-001,"
*** NOTES 13/02/2019 14:54:53 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Ontario team,

Please discover following device with Qos applied on Ontario :

?	Hostname - dhl-r2-lk001-00006 
?	Serial no - FGL210121CQ 
?	Man_IP - 23.247.1.76 
?	Interface ? Gi 0/1
?	Bandwidth - 10Mbps


QOS
Class	New 10 Mbps
	%	BW
IPP5 (EF-Voice)	25	2500
IPP3 (Af1-Business)	35	3500
IPP0 (Default)	40	4000



*** NOTES 18/02/2019 04:51:57 nxscn51 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/02/2019 04:51:57 nxscn51
Case Closed
",Ontario discover Qos applied Ontario Hostname dhlr2lk00100006 Serial FGL210121CQ ManIP Interface Gi/1 BandwidthMbps QOS Class New Mbps BW IPP5 EFVoice IPP3 Af1Business IPP0 Default nxscn51 nxscn51
260,EMSE SMARTS,COOP and ZTTCP - priority of tickets being raised,"
*** NOTES 13/02/2019 15:11:08 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
CD039848 was raised last year to raise all tickets for COOP as P4's

I want to know if as a result of that whether ZTTCP tickets now should be raised as P4's or not and how do I find out that is happening properly please??


*** NOTES 15/02/2019 15:36:19 nxbap51 Action Type: PM Team
Resolution Code =Request Rejected

*** CASE CLOSE 15/02/2019 15:36:19 nxbap51
Case Closed
",CD039848 raised last year raise tickets COOP P4s want result whether ZTTCP tickets raised P4 s find happening properly nxbap51 Rejected nxbap51
261,Ontario,LBG | Missing Interfaces | Ontario,"
*** NOTES 13/02/2019 15:59:39 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Hi Team,

Please add the elements on Ontario for reporting.

lbg-3l-wolv50853200-wr01_GigabitEthernet0/0

lbg-3l-wolv50853200-wr02_GigabitEthernet0/0

Tagging has been done today.



 
*** RESEARCH LOG 18/02/2019 16:01:41 nurjb89 Action Type: Action Taken
*** UKGSONTARIO2LS        Reshmanaidu Bevara  +91 8066882047  nurjb89

Devices reporting and BWs updated

*** NOTES 18/02/2019 16:02:45 nurjb89 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/02/2019 16:02:46 nurjb89
Case Closed
",add elements Ontario reporting lbg3lwolv50853200wr01GigabitEthernet0/0 lbg3lwolv50853200wr02GigabitEthernet0/0 Tagging done today nurjb89 UKGSONTARIO2LS nurjb89 Devices reporting BWs updated nurjb89 nurjb89
262,SMARTS MPLS,na-brist-mad77-maa-eu BMS 23398 Request for alarm investigation,"
*** NOTES 13/02/2019 16:51:21 wsluser Action Type: PM Team
*** HELPWWW        Web Access    wsluser
Please provide any SMARTS alarms and ticket requests recorded for dates: feb12-feb13 inclusive... thank you.


 
*** RESEARCH LOG 15/02/2019 07:28:12 nxsmk58 Action Type: Action Taken
*** INFYSOESMARTS        Suhaas Krishnam  +91 9916391640  nxsmk58
this has been sorted over mail

*** NOTES 15/02/2019 07:28:25 nxsmk58 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 15/02/2019 07:28:25 nxsmk58
Case Closed
",SMARTS alarms ticket requests recorded dates feb12feb13 inclusive thank nxsmk58 INFYSOESMARTS nxsmk58 sorted nxsmk58 nxsmk58
263,EMSE SMARTS,Alarm Investigation bmsq-lvl-k1cr-amazon-rtr2 2018/11/13 and 2018/11/14,"
*** NOTES 14/02/2019 00:27:06 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Team
Please advise why there isn't a ticket reference with the events below : bmsq-lvl-k1cr-amazon-rtr2	Interface	IF-bmsq-lvl-k1cr-amazon-rtr2/1 [Te0/0/0] [**BTM**  Sunesys Ckt 10/MAKE/002470/SUN via LVL K Room 1301]	2018/11/13 04:47:32 GMT	2018/11/13 06:27:16 GMT	0d 1h 39m 44s


IF-bmsq-lvl-k1cr-amazon-rtr2/1 [Te0/0/0] [**BTM**  Sunesys Ckt 10/MAKE/002470/SUN via LVL K Room 1301]	2018/11/14 14:14:03 GMT	2018/11/14 20:51:13 GMT	0d 6h 37m 10s	0	SYSTEM




*** NOTES 18/02/2019 11:55:16 nxfam37 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 18/02/2019 11:55:18 nxfam37
Case Closed
",advise nt ticket reference events bmsqlvlk1cramazonrtr2 Interface IFbmsqlvlk1cramazonrtr2/1 Te0/0/0 BTM Sunesys Ckt/MAKE/002470/SUN via LVL K Room/11/13 GMT/11/13 GMTdhms IFbmsqlvlk1cramazonrtr2/1 Te0/0/0 BTM Sunesys Ckt/MAKE/002470/SUN via LVL K Room/11/14 GMT/11/14 GMTdhms SYSTEM nxfam37 nxfam37
264,EMSE SMARTS,Request to Invetsigate missed BGP auto ticket bsc-hpw-b2cr-amazon-rtr1 BMS 23398,"
*** NOTES 14/02/2019 03:25:14 wsluser02 Action Type: PM Team
*** HELPWWW        Web Access02    wsluser02
Amazon RTR1 ? BGP log
008692: .Feb  2 02:37:24.765 UTC: %BGP-5-
Please advise why ticket request was not generated for below oBGP Outage.

ADJCHANGE: neighbor 165.89.29.158 Down
Interface flap
008725: .Feb  2 04:58:42.116 UTC: %BGP-5-ADJCHANGE: neighbor 165.89.29.158 Up



 
*** EMAIL OUT 21/02/2019 07:45:18 nxjat47 Action Type: Internal email
Send to: [antonio.trinidad@bt.com]
CC List: [emse.smarts@bt.com; jaya.tiwari@bt.com]
*** UKEEMSESMARTS        Jaya Tiwari  91955 940 7427  nxjat47
Hi Antonio,

Ticketing rules are not there that's why it is not ticketed.

Thanks and Regards,
Jaya Tiwari

***************************************************************************
NOTE: Please do not reply or send queries as this mail box is not monitored.
***************************************************************************

*** NOTES 22/02/2019 07:26:55 nxjat47 Action Type: PM Team
Resolution Code =Request Completed

*** CASE CLOSE 22/02/2019 07:26:56 nxjat47
Case Closed
",Amazon RTR1 BGP log Feb UTC BGP5 advise ticket oBGP Outage ADJCHANGE neighbor Down Interface flap Feb UTC BGP5ADJCHANGE neighbor Up EMAIL OUT nxjat47 Send antoniotrinidad CC List emsesmarts UKEEMSESMARTS nxjat47 Antonio Ticketing rules s ticketed reply queries box monitored nxjat47 nxjat47
